"","n.obs","year","sim","segment"
"1",6,6,6,9
"2",6,6,6,12
"3",6,6,6,22
"4",6,6,6,23
"5",6,6,6,32
"6",6,6,6,33
"7",6,6,6,35
"8",6,6,6,36
"9",6,6,6,46
"10",6,6,6,48
"11",6,6,6,49
"12",6,6,6,50
"13",6,6,6,39
"14",6,6,6,40
"15",6,6,6,41
"16",6,6,6,43
"17",6,6,6,44
"18",6,6,6,45
"19",6,6,6,46
"20",6,6,6,47
"21",6,6,6,48
"22",6,6,6,44
"23",6,6,6,43
"24",6,6,6,42
"25",6,6,6,41
"26",6,6,6,40
"27",6,6,6,39
"28",6,6,6,38
"29",6,6,6,37
"30",6,6,6,36
"31",6,6,6,49
"32",6,6,6,50
"33",6,6,6,45
"34",6,6,6,46
"35",6,6,6,47
"36",6,6,6,40
"37",6,6,6,39
"38",6,6,6,38
"39",6,6,6,37
"40",6,6,6,36
"41",6,6,6,41
"42",6,6,6,42
"43",6,6,6,43
"44",6,6,6,44
"45",6,6,6,47
"46",6,6,6,48
"47",6,6,6,49
"48",6,6,6,38
"49",6,6,6,37
"50",6,6,6,36
"51",6,6,6,50
"52",6,6,6,43
"53",6,6,6,45
"54",6,6,6,46
"55",6,6,6,41
"56",6,6,6,40
"57",6,6,6,39
"58",6,6,6,38
"59",6,6,6,37
"60",6,6,6,36
"61",6,6,6,47
"62",6,6,6,48
"63",6,6,6,49
"64",6,6,6,50
"65",6,6,6,42
"66",6,6,6,44
"67",6,6,6,39
"68",6,6,6,38
"69",6,6,6,37
"70",6,6,6,36
"71",6,6,6,40
"72",6,6,6,41
"73",6,6,6,43
"74",6,6,6,44
"75",6,6,6,45
"76",6,6,6,46
"77",6,6,6,47
"78",6,6,6,38
"79",6,6,6,37
"80",6,6,6,36
"81",6,6,6,48
"82",6,6,6,49
"83",6,6,6,50
"84",6,6,6,41
"85",6,6,6,42
"86",6,6,6,46
"87",6,6,6,39
"88",6,6,6,38
"89",6,6,6,37
"90",6,6,6,36
"91",6,6,6,50
"92",6,6,6,43
"93",6,6,6,44
"94",6,6,6,45
"95",6,6,6,47
"96",6,6,6,40
"97",6,6,6,39
"98",6,6,6,38
"99",6,6,6,37
"100",6,6,6,36
"101",6,6,6,9
"102",6,6,6,12
"103",6,6,6,22
"104",6,6,6,23
"105",6,6,6,32
"106",6,6,6,33
"107",6,6,6,35
"108",6,6,6,36
"109",6,6,6,46
"110",6,6,6,48
"111",6,6,6,38
"112",6,6,6,39
"113",6,6,6,41
