"","n.obs","year","sim","segment"
"1",6,6,6,6
"2",6,6,6,19
"3",6,6,6,27
"4",6,6,6,39
"5",6,6,6,42
"6",6,6,6,45
"7",6,6,6,46
"8",6,6,6,48
"9",6,6,6,42
"10",6,6,6,41
"11",6,6,6,49
"12",6,6,6,50
"13",6,6,6,43
"14",6,6,6,44
"15",6,6,6,47
"16",6,6,6,50
"17",6,6,6,45
"18",6,6,6,46
"19",6,6,6,47
"20",6,6,6,48
"21",6,6,6,42
"22",6,6,6,43
"23",6,6,6,46
"24",6,6,6,48
"25",6,6,6,49
"26",6,6,6,50
"27",6,6,6,44
"28",6,6,6,45
"29",6,6,6,47
"30",6,6,6,41
"31",6,6,6,48
"32",6,6,6,49
"33",6,6,6,50
"34",6,6,6,45
"35",6,6,6,46
"36",6,6,6,47
"37",6,6,6,44
"38",6,6,6,43
"39",6,6,6,42
"40",6,6,6,41
"41",6,6,6,48
"42",6,6,6,49
"43",6,6,6,50
"44",6,6,6,45
"45",6,6,6,46
"46",6,6,6,47
"47",6,6,6,44
"48",6,6,6,43
"49",6,6,6,42
"50",6,6,6,41
"51",6,6,6,6
"52",6,6,6,19
"53",6,6,6,27
"54",6,6,6,39
"55",6,6,6,42
"56",6,6,6,49
"57",6,6,6,50
"58",6,6,6,43
"59",6,6,6,45
"60",6,6,6,46
"61",6,6,6,50
"62",6,6,6,44
"63",6,6,6,45
"64",6,6,6,47
"65",6,6,6,48
"66",6,6,6,49
"67",6,6,6,50
"68",6,6,6,45
"69",6,6,6,46
"70",6,6,6,47
"71",6,6,6,43
"72",6,6,6,44
"73",6,6,6,46
"74",6,6,6,47
"75",6,6,6,48
"76",6,6,6,49
"77",6,6,6,50
"78",6,6,6,45
"79",6,6,6,46
"80",6,6,6,41
"81",6,6,6,43
"82",6,6,6,44
"83",6,6,6,45
"84",6,6,6,47
"85",6,6,6,48
"86",6,6,6,49
"87",6,6,6,50
"88",6,6,6,44
"89",6,6,6,46
"90",6,6,6,47
"91",6,6,6,50
"92",6,6,6,44
"93",6,6,6,45
"94",6,6,6,47
"95",6,6,6,48
"96",6,6,6,43
"97",6,6,6,46
"98",6,6,6,47
"99",6,6,6,48
"100",6,6,6,49
"101",6,6,6,6
"102",6,6,6,19
"103",6,6,6,27
"104",6,6,6,39
"105",6,6,6,42
"106",6,6,6,47
"107",6,6,6,44
"108",6,6,6,43
"109",6,6,6,42
"110",6,6,6,41
"111",6,6,6,48
"112",6,6,6,49
"113",6,6,6,50
"114",6,6,6,45
"115",6,6,6,46
"116",6,6,6,50
"117",6,6,6,43
"118",6,6,6,44
"119",6,6,6,47
"120",6,6,6,48
"121",6,6,6,42
"122",6,6,6,45
"123",6,6,6,46
"124",6,6,6,47
"125",6,6,6,49
"126",6,6,6,47
"127",6,6,6,48
"128",6,6,6,49
"129",6,6,6,50
"130",6,6,6,44
"131",6,6,6,50
"132",6,6,6,44
"133",6,6,6,45
"134",6,6,6,46
"135",6,6,6,48
"136",6,6,6,42
"137",6,6,6,43
"138",6,6,6,45
"139",6,6,6,47
"140",6,6,6,49
"141",6,6,6,50
"142",6,6,6,44
"143",6,6,6,46
"144",6,6,6,47
"145",6,6,6,48
"146",6,6,6,49
"147",6,6,6,50
"148",6,6,6,43
"149",6,6,6,45
"150",6,6,6,46
"151",6,6,6,6
"152",6,6,6,19
"153",6,6,6,27
"154",6,6,6,39
"155",6,6,6,42
"156",6,6,6,45
"157",6,6,6,44
"158",6,6,6,43
"159",6,6,6,42
"160",6,6,6,41
"161",6,6,6,46
"162",6,6,6,47
"163",6,6,6,48
"164",6,6,6,49
"165",6,6,6,50
"166",6,6,6,44
"167",6,6,6,45
"168",6,6,6,47
"169",6,6,6,48
"170",6,6,6,49
"171",6,6,6,50
"172",6,6,6,46
"173",6,6,6,43
"174",6,6,6,42
"175",6,6,6,41
"176",6,6,6,44
"177",6,6,6,45
"178",6,6,6,46
"179",6,6,6,47
"180",6,6,6,48
"181",6,6,6,42
"182",6,6,6,43
"183",6,6,6,45
"184",6,6,6,47
"185",6,6,6,49
"186",6,6,6,50
"187",6,6,6,42
"188",6,6,6,44
"189",6,6,6,46
"190",6,6,6,48
"191",6,6,6,49
"192",6,6,6,50
"193",6,6,6,44
"194",6,6,6,45
"195",6,6,6,47
"196",6,6,6,42
"197",6,6,6,43
"198",6,6,6,46
"199",6,6,6,47
"200",6,6,6,48
"201",6,6,6,6
"202",6,6,6,19
"203",6,6,6,27
"204",6,6,6,39
"205",6,6,6,42
"206",6,6,6,45
"207",6,6,6,46
"208",6,6,6,43
"209",6,6,6,42
"210",6,6,6,41
"211",6,6,6,44
"212",6,6,6,45
"213",6,6,6,46
"214",6,6,6,47
"215",6,6,6,48
"216",6,6,6,49
"217",6,6,6,50
"218",6,6,6,43
"219",6,6,6,42
"220",6,6,6,41
"221",6,6,6,44
"222",6,6,6,45
"223",6,6,6,46
"224",6,6,6,47
"225",6,6,6,48
"226",6,6,6,48
"227",6,6,6,49
"228",6,6,6,50
"229",6,6,6,45
"230",6,6,6,46
"231",6,6,6,42
"232",6,6,6,43
"233",6,6,6,44
"234",6,6,6,47
"235",6,6,6,49
"236",6,6,6,50
"237",6,6,6,45
"238",6,6,6,46
"239",6,6,6,48
"240",6,6,6,41
"241",6,6,6,44
"242",6,6,6,46
"243",6,6,6,47
"244",6,6,6,48
"245",6,6,6,49
"246",6,6,6,49
"247",6,6,6,50
"248",6,6,6,44
"249",6,6,6,45
"250",6,6,6,47
