"","n.rem","year","sim","segment"
"1","1","1","1",1
"2","2","1","1",2
"3","3","1","1",3
"4","4","1","1",4
"5","5","1","1",5
"6","1","2","1",43
"7","2","2","1",44
"8","3","2","1",46
"9","4","2","1",49
"10","5","2","1",50
"11","1","3","1",41
"12","2","3","1",42
"13","3","3","1",45
"14","4","3","1",47
"15","5","3","1",48
"16","1","4","1",40
"17","2","4","1",43
"18","3","4","1",44
"19","4","4","1",46
"20","5","4","1",49
"21","1","5","1",39
"22","2","5","1",45
"23","3","5","1",47
"24","4","5","1",48
"25","5","5","1",50
"26","1","6","1",41
"27","2","6","1",42
"28","3","6","1",43
"29","4","6","1",46
"30","5","6","1",49
"31","1","7","1",40
"32","2","7","1",44
"33","3","7","1",47
"34","4","7","1",48
"35","5","7","1",50
"36","1","8","1",42
"37","2","8","1",43
"38","3","8","1",45
"39","4","8","1",46
"40","5","8","1",49
"41","1","9","1",38
"42","2","9","1",39
"43","3","9","1",41
"44","4","9","1",47
"45","5","9","1",48
"46","1","10","1",37
"47","2","10","1",40
"48","3","10","1",44
"49","4","10","1",46
"50","5","10","1",50
"51","1","1","2",1
"52","2","1","2",2
"53","3","1","2",3
"54","4","1","2",4
"55","5","1","2",5
"56","1","2","2",39
"57","2","2","2",41
"58","3","2","2",42
"59","4","2","2",45
"60","5","2","2",50
"61","1","3","2",38
"62","2","3","2",44
"63","3","3","2",47
"64","4","3","2",48
"65","5","3","2",49
"66","1","4","2",35
"67","2","4","2",37
"68","3","4","2",40
"69","4","4","2",43
"70","5","4","2",45
"71","1","5","2",33
"72","2","5","2",46
"73","3","5","2",47
"74","4","5","2",48
"75","5","5","2",50
"76","1","6","2",41
"77","2","6","2",42
"78","3","6","2",44
"79","4","6","2",45
"80","5","6","2",49
"81","1","7","2",38
"82","2","7","2",39
"83","3","7","2",40
"84","4","7","2",47
"85","5","7","2",48
"86","1","8","2",43
"87","2","8","2",44
"88","3","8","2",46
"89","4","8","2",49
"90","5","8","2",50
"91","1","9","2",37
"92","2","9","2",41
"93","3","9","2",42
"94","4","9","2",45
"95","5","9","2",48
"96","1","10","2",44
"97","2","10","2",46
"98","3","10","2",47
"99","4","10","2",49
"100","5","10","2",50
"101","1","1","3",1
"102","2","1","3",2
"103","3","1","3",3
"104","4","1","3",4
"105","5","1","3",5
"106","1","2","3",43
"107","2","2","3",44
"108","3","2","3",45
"109","4","2","3",46
"110","5","2","3",50
"111","1","3","3",30
"112","2","3","3",31
"113","3","3","3",35
"114","4","3","3",42
"115","5","3","3",47
"116","1","4","3",25
"117","2","4","3",26
"118","3","4","3",27
"119","4","4","3",28
"120","5","4","3",48
"121","1","5","3",20
"122","2","5","3",24
"123","3","5","3",45
"124","4","5","3",49
"125","5","5","3",50
"126","1","6","3",43
"127","2","6","3",44
"128","3","6","3",46
"129","4","6","3",47
"130","5","6","3",48
"131","1","7","3",41
"132","2","7","3",42
"133","3","7","3",45
"134","4","7","3",49
"135","5","7","3",50
"136","1","8","3",40
"137","2","8","3",43
"138","3","8","3",44
"139","4","8","3",46
"140","5","8","3",47
"141","1","9","3",38
"142","2","9","3",39
"143","3","9","3",42
"144","4","9","3",48
"145","5","9","3",49
"146","1","10","3",41
"147","2","10","3",44
"148","3","10","3",45
"149","4","10","3",46
"150","5","10","3",50
"151","1","1","4",1
"152","2","1","4",2
"153","3","1","4",3
"154","4","1","4",4
"155","5","1","4",5
"156","1","2","4",45
"157","2","2","4",46
"158","3","2","4",47
"159","4","2","4",48
"160","5","2","4",49
"161","1","3","4",40
"162","2","3","4",41
"163","3","3","4",42
"164","4","3","4",43
"165","5","3","4",44
"166","1","4","4",39
"167","2","4","4",45
"168","3","4","4",46
"169","4","4","4",49
"170","5","4","4",50
"171","1","5","4",42
"172","2","5","4",43
"173","3","5","4",44
"174","4","5","4",47
"175","5","5","4",48
"176","1","6","4",40
"177","2","6","4",41
"178","3","6","4",45
"179","4","6","4",46
"180","5","6","4",49
"181","1","7","4",37
"182","2","7","4",38
"183","3","7","4",39
"184","4","7","4",48
"185","5","7","4",50
"186","1","8","4",42
"187","2","8","4",43
"188","3","8","4",44
"189","4","8","4",45
"190","5","8","4",47
"191","1","9","4",41
"192","2","9","4",46
"193","3","9","4",48
"194","4","9","4",49
"195","5","9","4",50
"196","1","10","4",39
"197","2","10","4",40
"198","3","10","4",43
"199","4","10","4",44
"200","5","10","4",47
"201","1","1","5",1
"202","2","1","5",2
"203","3","1","5",3
"204","4","1","5",4
"205","5","1","5",5
"206","1","2","5",35
"207","2","2","5",41
"208","3","2","5",42
"209","4","2","5",45
"210","5","2","5",48
"211","1","3","5",44
"212","2","3","5",46
"213","3","3","5",47
"214","4","3","5",49
"215","5","3","5",50
"216","1","4","5",40
"217","2","4","5",42
"218","3","4","5",43
"219","4","4","5",45
"220","5","4","5",48
"221","1","5","5",38
"222","2","5","5",39
"223","3","5","5",41
"224","4","5","5",44
"225","5","5","5",49
"226","1","6","5",37
"227","2","6","5",46
"228","3","6","5",47
"229","4","6","5",48
"230","5","6","5",50
"231","1","7","5",40
"232","2","7","5",42
"233","3","7","5",43
"234","4","7","5",44
"235","5","7","5",45
"236","1","8","5",39
"237","2","8","5",41
"238","3","8","5",47
"239","4","8","5",49
"240","5","8","5",50
"241","1","9","5",38
"242","2","9","5",43
"243","3","9","5",45
"244","4","9","5",46
"245","5","9","5",48
"246","1","10","5",40
"247","2","10","5",42
"248","3","10","5",44
"249","4","10","5",47
"250","5","10","5",50
