"","n.obs","year","sim","segment"
"1","1","1","1",3
"2","2","1","1",5
"3","3","1","1",12
"4","4","1","1",21
"5","5","1","1",26
"6","6","1","1",34
"7","7","1","1",39
"8","8","1","1",41
"9","9","1","1",42
"10","10","1","1",49
"11","1","2","1",2
"12","2","2","1",14
"13","3","2","1",22
"14","4","2","1",23
"15","5","2","1",24
"16","6","2","1",27
"17","7","2","1",39
"18","8","2","1",46
"19","9","2","1",47
"20","10","2","1",49
"21","1","3","1",7
"22","2","3","1",10
"23","3","3","1",14
"24","4","3","1",23
"25","5","3","1",26
"26","6","3","1",30
"27","7","3","1",36
"28","8","3","1",46
"29","9","3","1",48
"30","10","3","1",49
"31","1","4","1",3
"32","2","4","1",9
"33","3","4","1",10
"34","4","4","1",15
"35","5","4","1",18
"36","6","4","1",20
"37","7","4","1",26
"38","8","4","1",27
"39","9","4","1",31
"40","10","4","1",44
"41","1","5","1",2
"42","2","5","1",6
"43","3","5","1",18
"44","4","5","1",28
"45","5","5","1",33
"46","6","5","1",34
"47","7","5","1",35
"48","8","5","1",38
"49","9","5","1",40
"50","10","5","1",41
"51","1","6","1",15
"52","2","6","1",16
"53","3","6","1",24
"54","4","6","1",25
"55","5","6","1",32
"56","6","6","1",36
"57","7","6","1",39
"58","8","6","1",41
"59","9","6","1",42
"60","10","6","1",46
"61","1","7","1",8
"62","2","7","1",10
"63","3","7","1",11
"64","4","7","1",12
"65","5","7","1",17
"66","6","7","1",33
"67","7","7","1",34
"68","8","7","1",41
"69","9","7","1",45
"70","10","7","1",49
"71","1","8","1",2
"72","2","8","1",5
"73","3","8","1",12
"74","4","8","1",13
"75","5","8","1",16
"76","6","8","1",18
"77","7","8","1",20
"78","8","8","1",39
"79","9","8","1",40
"80","10","8","1",48
"81","1","9","1",6
"82","2","9","1",9
"83","3","9","1",11
"84","4","9","1",16
"85","5","9","1",21
"86","6","9","1",22
"87","7","9","1",23
"88","8","9","1",32
"89","9","9","1",37
"90","10","9","1",42
"91","1","10","1",15
"92","2","10","1",18
"93","3","10","1",19
"94","4","10","1",23
"95","5","10","1",26
"96","6","10","1",33
"97","7","10","1",35
"98","8","10","1",40
"99","9","10","1",46
"100","10","10","1",49
"101","1","1","2",3
"102","2","1","2",5
"103","3","1","2",12
"104","4","1","2",21
"105","5","1","2",26
"106","6","1","2",34
"107","7","1","2",39
"108","8","1","2",41
"109","9","1","2",42
"110","10","1","2",49
"111","1","2","2",9
"112","2","2","2",13
"113","3","2","2",15
"114","4","2","2",21
"115","5","2","2",26
"116","6","2","2",33
"117","7","2","2",35
"118","8","2","2",42
"119","9","2","2",43
"120","10","2","2",49
"121","1","3","2",5
"122","2","3","2",8
"123","3","3","2",25
"124","4","3","2",29
"125","5","3","2",31
"126","6","3","2",32
"127","7","3","2",33
"128","8","3","2",36
"129","9","3","2",38
"130","10","3","2",44
"131","1","4","2",3
"132","2","4","2",6
"133","3","4","2",15
"134","4","4","2",20
"135","5","4","2",25
"136","6","4","2",31
"137","7","4","2",35
"138","8","4","2",40
"139","9","4","2",41
"140","10","4","2",49
"141","1","5","2",5
"142","2","5","2",6
"143","3","5","2",7
"144","4","5","2",12
"145","5","5","2",18
"146","6","5","2",27
"147","7","5","2",31
"148","8","5","2",35
"149","9","5","2",43
"150","10","5","2",49
"151","1","6","2",1
"152","2","6","2",7
"153","3","6","2",9
"154","4","6","2",15
"155","5","6","2",26
"156","6","6","2",27
"157","7","6","2",29
"158","8","6","2",32
"159","9","6","2",39
"160","10","6","2",49
"161","1","7","2",3
"162","2","7","2",7
"163","3","7","2",11
"164","4","7","2",13
"165","5","7","2",21
"166","6","7","2",30
"167","7","7","2",38
"168","8","7","2",42
"169","9","7","2",47
"170","10","7","2",49
"171","1","8","2",10
"172","2","8","2",18
"173","3","8","2",21
"174","4","8","2",25
"175","5","8","2",32
"176","6","8","2",33
"177","7","8","2",40
"178","8","8","2",46
"179","9","8","2",48
"180","10","8","2",50
"181","1","9","2",19
"182","2","9","2",22
"183","3","9","2",23
"184","4","9","2",29
"185","5","9","2",31
"186","6","9","2",34
"187","7","9","2",37
"188","8","9","2",40
"189","9","9","2",44
"190","10","9","2",46
"191","1","10","2",2
"192","2","10","2",7
"193","3","10","2",10
"194","4","10","2",27
"195","5","10","2",34
"196","6","10","2",35
"197","7","10","2",36
"198","8","10","2",42
"199","9","10","2",45
"200","10","10","2",46
"201","1","1","3",3
"202","2","1","3",5
"203","3","1","3",12
"204","4","1","3",21
"205","5","1","3",26
"206","6","1","3",34
"207","7","1","3",39
"208","8","1","3",41
"209","9","1","3",42
"210","10","1","3",49
"211","1","2","3",3
"212","2","2","3",5
"213","3","2","3",7
"214","4","2","3",9
"215","5","2","3",22
"216","6","2","3",23
"217","7","2","3",33
"218","8","2","3",35
"219","9","2","3",41
"220","10","2","3",45
"221","1","3","3",4
"222","2","3","3",9
"223","3","3","3",20
"224","4","3","3",21
"225","5","3","3",24
"226","6","3","3",34
"227","7","3","3",39
"228","8","3","3",41
"229","9","3","3",45
"230","10","3","3",48
"231","1","4","3",4
"232","2","4","3",7
"233","3","4","3",8
"234","4","4","3",9
"235","5","4","3",12
"236","6","4","3",25
"237","7","4","3",26
"238","8","4","3",36
"239","9","4","3",42
"240","10","4","3",46
"241","1","5","3",2
"242","2","5","3",6
"243","3","5","3",8
"244","4","5","3",10
"245","5","5","3",21
"246","6","5","3",27
"247","7","5","3",30
"248","8","5","3",32
"249","9","5","3",36
"250","10","5","3",43
"251","1","6","3",3
"252","2","6","3",10
"253","3","6","3",17
"254","4","6","3",20
"255","5","6","3",25
"256","6","6","3",37
"257","7","6","3",40
"258","8","6","3",43
"259","9","6","3",46
"260","10","6","3",48
"261","1","7","3",4
"262","2","7","3",9
"263","3","7","3",14
"264","4","7","3",15
"265","5","7","3",20
"266","6","7","3",23
"267","7","7","3",24
"268","8","7","3",32
"269","9","7","3",35
"270","10","7","3",47
"271","1","8","3",3
"272","2","8","3",13
"273","3","8","3",18
"274","4","8","3",19
"275","5","8","3",25
"276","6","8","3",28
"277","7","8","3",31
"278","8","8","3",37
"279","9","8","3",44
"280","10","8","3",48
"281","1","9","3",14
"282","2","9","3",16
"283","3","9","3",17
"284","4","9","3",19
"285","5","9","3",22
"286","6","9","3",29
"287","7","9","3",34
"288","8","9","3",36
"289","9","9","3",37
"290","10","9","3",39
"291","1","10","3",5
"292","2","10","3",6
"293","3","10","3",11
"294","4","10","3",13
"295","5","10","3",16
"296","6","10","3",31
"297","7","10","3",41
"298","8","10","3",44
"299","9","10","3",45
"300","10","10","3",48
"301","1","1","4",3
"302","2","1","4",5
"303","3","1","4",12
"304","4","1","4",21
"305","5","1","4",26
"306","6","1","4",34
"307","7","1","4",39
"308","8","1","4",41
"309","9","1","4",42
"310","10","1","4",49
"311","1","2","4",1
"312","2","2","4",13
"313","3","2","4",22
"314","4","2","4",23
"315","5","2","4",26
"316","6","2","4",29
"317","7","2","4",37
"318","8","2","4",40
"319","9","2","4",47
"320","10","2","4",49
"321","1","3","4",8
"322","2","3","4",12
"323","3","3","4",15
"324","4","3","4",20
"325","5","3","4",26
"326","6","3","4",28
"327","7","3","4",33
"328","8","3","4",37
"329","9","3","4",38
"330","10","3","4",45
"331","1","4","4",7
"332","2","4","4",8
"333","3","4","4",14
"334","4","4","4",40
"335","5","4","4",41
"336","6","4","4",42
"337","7","4","4",43
"338","8","4","4",44
"339","9","4","4",45
"340","10","4","4",47
"341","1","5","4",3
"342","2","5","4",11
"343","3","5","4",13
"344","4","5","4",14
"345","5","5","4",20
"346","6","5","4",25
"347","7","5","4",27
"348","8","5","4",45
"349","9","5","4",47
"350","10","5","4",49
"351","1","6","4",7
"352","2","6","4",11
"353","3","6","4",14
"354","4","6","4",15
"355","5","6","4",20
"356","6","6","4",21
"357","7","6","4",27
"358","8","6","4",34
"359","9","6","4",36
"360","10","6","4",41
"361","1","7","4",11
"362","2","7","4",16
"363","3","7","4",18
"364","4","7","4",21
"365","5","7","4",23
"366","6","7","4",28
"367","7","7","4",32
"368","8","7","4",42
"369","9","7","4",46
"370","10","7","4",48
"371","1","8","4",1
"372","2","8","4",2
"373","3","8","4",11
"374","4","8","4",20
"375","5","8","4",33
"376","6","8","4",34
"377","7","8","4",38
"378","8","8","4",42
"379","9","8","4",44
"380","10","8","4",48
"381","1","9","4",15
"382","2","9","4",17
"383","3","9","4",18
"384","4","9","4",24
"385","5","9","4",28
"386","6","9","4",30
"387","7","9","4",31
"388","8","9","4",35
"389","9","9","4",44
"390","10","9","4",47
"391","1","10","4",1
"392","2","10","4",2
"393","3","10","4",8
"394","4","10","4",12
"395","5","10","4",14
"396","6","10","4",21
