"","n.rem","year","sim","segment"
"1","1","1","1",22
"2","2","1","1",16
"3","3","1","1",33
"4","4","1","1",48
"5","5","1","1",31
"6","1","2","1",28
"7","2","2","1",15
"8","3","2","1",5
"9","4","2","1",4
"10","5","2","1",32
"11","1","3","1",6
"12","2","3","1",50
"13","3","3","1",1
"14","4","3","1",12
"15","5","3","1",45
"16","1","4","1",30
"17","2","4","1",42
"18","3","4","1",14
"19","4","4","1",41
"20","5","4","1",37
"21","1","5","1",15
"22","2","5","1",47
"23","3","5","1",23
"24","4","5","1",13
"25","5","5","1",25
"26","1","6","1",21
"27","2","6","1",49
"28","3","6","1",11
"29","4","6","1",3
"30","5","6","1",8
"31","1","7","1",29
"32","2","7","1",20
"33","3","7","1",43
"34","4","7","1",19
"35","5","7","1",36
"36","1","8","1",47
"37","2","8","1",45
"38","3","8","1",25
"39","4","8","1",49
"40","5","8","1",33
"41","1","9","1",44
"42","2","9","1",8
"43","3","9","1",38
"44","4","9","1",46
"45","5","9","1",13
"46","1","10","1",37
"47","2","10","1",20
"48","3","10","1",3
"49","4","10","1",14
"50","5","10","1",10
"51","1","1","2",22
"52","2","1","2",16
"53","3","1","2",33
"54","4","1","2",48
"55","5","1","2",31
"56","1","2","2",39
"57","2","2","2",40
"58","3","2","2",28
"59","4","2","2",32
"60","5","2","2",6
"61","1","3","2",12
"62","2","3","2",45
"63","3","3","2",3
"64","4","3","2",26
"65","5","3","2",34
"66","1","4","2",30
"67","2","4","2",38
"68","3","4","2",22
"69","4","4","2",8
"70","5","4","2",46
"71","1","5","2",19
"72","2","5","2",50
"73","3","5","2",37
"74","4","5","2",2
"75","5","5","2",4
"76","1","6","2",13
"77","2","6","2",48
"78","3","6","2",16
"79","4","6","2",36
"80","5","6","2",35
"81","1","7","2",46
"82","2","7","2",9
"83","3","7","2",23
"84","4","7","2",6
"85","5","7","2",32
"86","1","8","2",5
"87","2","8","2",19
"88","3","8","2",13
"89","4","8","2",14
"90","5","8","2",41
"91","1","9","2",8
"92","2","9","2",45
"93","3","9","2",12
"94","4","9","2",7
"95","5","9","2",28
"96","1","10","2",39
"97","2","10","2",20
"98","3","10","2",17
"99","4","10","2",16
"100","5","10","2",32
"101","1","1","3",22
"102","2","1","3",16
"103","3","1","3",33
"104","4","1","3",48
"105","5","1","3",31
"106","1","2","3",12
"107","2","2","3",2
"108","3","2","3",42
"109","4","2","3",24
"110","5","2","3",40
"111","1","3","3",22
"112","2","3","3",29
"113","3","3","3",14
"114","4","3","3",18
"115","5","3","3",44
"116","1","4","3",5
"117","2","4","3",27
"118","3","4","3",19
"119","4","4","3",43
"120","5","4","3",10
"121","1","5","3",12
"122","2","5","3",41
"123","3","5","3",24
"124","4","5","3",25
"125","5","5","3",33
"126","1","6","3",2
"127","2","6","3",8
"128","3","6","3",1
"129","4","6","3",39
"130","5","6","3",15
"131","1","7","3",44
"132","2","7","3",21
"133","3","7","3",28
"134","4","7","3",11
"135","5","7","3",36
"136","1","8","3",23
"137","2","8","3",6
"138","3","8","3",4
"139","4","8","3",33
"140","5","8","3",30
"141","1","9","3",1
"142","2","9","3",27
"143","3","9","3",8
"144","4","9","3",35
"145","5","9","3",2
"146","1","10","3",15
"147","2","10","3",26
"148","3","10","3",38
"149","4","10","3",22
"150","5","10","3",18
"151","1","1","4",22
"152","2","1","4",16
"153","3","1","4",33
"154","4","1","4",48
"155","5","1","4",31
"156","1","2","4",21
"157","2","2","4",35
"158","3","2","4",15
"159","4","2","4",4
"160","5","2","4",25
"161","1","3","4",17
"162","2","3","4",18
"163","3","3","4",9
"164","4","3","4",42
"165","5","3","4",41
"166","1","4","4",32
"167","2","4","4",10
"168","3","4","4",26
"169","4","4","4",29
"170","5","4","4",16
"171","1","5","4",24
"172","2","5","4",21
"173","3","5","4",46
"174","4","5","4",48
"175","5","5","4",50
"176","1","6","4",4
"177","2","6","4",8
"178","3","6","4",23
"179","4","6","4",47
"180","5","6","4",30
"181","1","7","4",17
"182","2","7","4",43
"183","3","7","4",44
"184","4","7","4",37
"185","5","7","4",45
"186","1","8","4",22
"187","2","8","4",29
"188","3","8","4",23
"189","4","8","4",24
"190","5","8","4",10
"191","1","9","4",34
"192","2","9","4",49
"193","3","9","4",6
"194","4","9","4",25
"195","5","9","4",20
"196","1","10","4",5
"197","2","10","4",41
"198","3","10","4",45
"199","4","10","4",35
"200","5","10","4",36
"201","1","1","5",22
"202","2","1","5",16
"203","3","1","5",33
"204","4","1","5",48
"205","5","1","5",31
"206","1","2","5",49
"207","2","2","5",25
"208","3","2","5",6
"209","4","2","5",3
"210","5","2","5",32
"211","1","3","5",23
"212","2","3","5",19
"213","3","3","5",24
"214","4","3","5",38
"215","5","3","5",21
"216","1","4","5",35
"217","2","4","5",10
"218","3","4","5",47
"219","4","4","5",40
"220","5","4","5",20
"221","1","5","5",17
"222","2","5","5",7
"223","3","5","5",3
"224","4","5","5",5
"225","5","5","5",45
"226","1","6","5",39
"227","2","6","5",32
"228","3","6","5",4
"229","4","6","5",15
"230","5","6","5",35
"231","1","7","5",24
"232","2","7","5",6
"233","3","7","5",26
"234","4","7","5",37
"235","5","7","5",33
"236","1","8","5",31
"237","2","8","5",29
"238","3","8","5",27
"239","4","8","5",18
"240","5","8","5",30
"241","1","9","5",39
"242","2","9","5",35
"243","3","9","5",14
"244","4","9","5",13
"245","5","9","5",50
"246","1","10","5",34
"247","2","10","5",16
"248","3","10","5",24
"249","4","10","5",25
"250","5","10","5",1
