"","n.obs","year","sim","segment"
"1","1","1","1",18
"2","2","1","1",22
"3","3","1","1",25
"4","4","1","1",35
"5","5","1","1",40
"6","1","2","1",11
"7","2","2","1",17
"8","3","2","1",20
"9","4","2","1",33
"10","5","2","1",43
"11","1","3","1",4
"12","2","3","1",16
"13","3","3","1",20
"14","4","3","1",35
"15","5","3","1",50
"16","1","4","1",4
"17","2","4","1",12
"18","3","4","1",13
"19","4","4","1",34
"20","5","4","1",42
"21","1","5","1",3
"22","2","5","1",5
"23","3","5","1",18
"24","4","5","1",37
"25","5","5","1",47
"26","1","6","1",3
"27","2","6","1",32
"28","3","6","1",33
"29","4","6","1",37
"30","5","6","1",39
"31","1","7","1",9
"32","2","7","1",13
"33","3","7","1",16
"34","4","7","1",34
"35","5","7","1",47
"36","1","8","1",14
"37","2","8","1",17
"38","3","8","1",20
"39","4","8","1",28
"40","5","8","1",41
"41","1","9","1",2
"42","2","9","1",18
"43","3","9","1",34
"44","4","9","1",36
"45","5","9","1",45
"46","1","10","1",2
"47","2","10","1",6
"48","3","10","1",19
"49","4","10","1",21
"50","5","10","1",43
"51","1","1","2",18
"52","2","1","2",22
"53","3","1","2",25
"54","4","1","2",35
"55","5","1","2",40
"56","1","2","2",2
"57","2","2","2",20
"58","3","2","2",41
"59","4","2","2",47
"60","5","2","2",49
"61","1","3","2",16
"62","2","3","2",18
"63","3","3","2",20
"64","4","3","2",38
"65","5","3","2",45
"66","1","4","2",17
"67","2","4","2",19
"68","3","4","2",28
"69","4","4","2",33
"70","5","4","2",42
"71","1","5","2",8
"72","2","5","2",15
"73","3","5","2",26
"74","4","5","2",35
"75","5","5","2",42
"76","1","6","2",10
"77","2","6","2",11
"78","3","6","2",13
"79","4","6","2",25
"80","5","6","2",32
"81","1","7","2",7
"82","2","7","2",12
"83","3","7","2",17
"84","4","7","2",34
"85","5","7","2",44
"86","1","8","2",16
"87","2","8","2",18
"88","3","8","2",34
"89","4","8","2",43
"90","5","8","2",50
"91","1","9","2",1
"92","2","9","2",20
"93","3","9","2",21
"94","4","9","2",23
"95","5","9","2",38
"96","1","10","2",13
"97","2","10","2",15
"98","3","10","2",16
"99","4","10","2",17
"100","5","10","2",23
"101","1","1","3",18
"102","2","1","3",22
"103","3","1","3",25
"104","4","1","3",35
"105","5","1","3",40
"106","1","2","3",3
"107","2","2","3",4
"108","3","2","3",10
"109","4","2","3",38
"110","5","2","3",46
"111","1","3","3",10
"112","2","3","3",11
"113","3","3","3",13
"114","4","3","3",15
"115","5","3","3",26
"116","1","4","3",7
"117","2","4","3",11
"118","3","4","3",19
"119","4","4","3",39
"120","5","4","3",45
"121","1","5","3",18
"122","2","5","3",24
"123","3","5","3",34
"124","4","5","3",41
"125","5","5","3",46
"126","1","6","3",12
"127","2","6","3",24
"128","3","6","3",34
"129","4","6","3",47
"130","5","6","3",49
"131","1","7","3",1
"132","2","7","3",7
"133","3","7","3",31
"134","4","7","3",32
"135","5","7","3",43
"136","1","8","3",1
"137","2","8","3",21
"138","3","8","3",39
"139","4","8","3",40
"140","5","8","3",42
"141","1","9","3",31
"142","2","9","3",35
"143","3","9","3",40
"144","4","9","3",48
"145","5","9","3",49
"146","1","10","3",5
"147","2","10","3",7
"148","3","10","3",22
"149","4","10","3",42
"150","5","10","3",49
"151","1","1","4",18
"152","2","1","4",22
"153","3","1","4",25
"154","4","1","4",35
"155","5","1","4",40
"156","1","2","4",3
"157","2","2","4",19
"158","3","2","4",26
"159","4","2","4",31
"160","5","2","4",32
"161","1","3","4",2
"162","2","3","4",13
"163","3","3","4",16
"164","4","3","4",34
"165","5","3","4",36
"166","1","4","4",8
"167","2","4","4",14
"168","3","4","4",23
"169","4","4","4",44
"170","5","4","4",50
"171","1","5","4",8
"172","2","5","4",14
"173","3","5","4",17
"174","4","5","4",20
"175","5","5","4",41
"176","1","6","4",9
"177","2","6","4",31
"178","3","6","4",34
"179","4","6","4",45
"180","5","6","4",50
"181","1","7","4",24
"182","2","7","4",34
"183","3","7","4",40
"184","4","7","4",45
"185","5","7","4",46
"186","1","8","4",6
"187","2","8","4",25
"188","3","8","4",33
"189","4","8","4",38
"190","5","8","4",46
"191","1","9","4",5
"192","2","9","4",12
"193","3","9","4",16
"194","4","9","4",26
"195","5","9","4",39
"196","1","10","4",6
"197","2","10","4",28
"198","3","10","4",33
"199","4","10","4",36
"200","5","10","4",43
"201","1","1","5",18
"202","2","1","5",22
"203","3","1","5",25
"204","4","1","5",35
"205","5","1","5",40
"206","1","2","5",6
"207","2","2","5",8
"208","3","2","5",20
"209","4","2","5",38
"210","5","2","5",50
"211","1","3","5",6
"212","2","3","5",17
"213","3","3","5",24
"214","4","3","5",28
"215","5","3","5",32
"216","1","4","5",4
"217","2","4","5",13
"218","3","4","5",16
"219","4","4","5",34
"220","5","4","5",48
"221","1","5","5",7
"222","2","5","5",12
"223","3","5","5",33
"224","4","5","5",42
"225","5","5","5",47
"226","1","6","5",15
"227","2","6","5",25
"228","3","6","5",37
"229","4","6","5",40
"230","5","6","5",50
"231","1","7","5",11
"232","2","7","5",16
"233","3","7","5",19
"234","4","7","5",41
"235","5","7","5",49
"236","1","8","5",1
"237","2","8","5",3
"238","3","8","5",6
"239","4","8","5",28
"240","5","8","5",33
"241","1","9","5",4
"242","2","9","5",14
"243","3","9","5",35
"244","4","9","5",44
"245","5","9","5",46
"246","1","10","5",11
"247","2","10","5",26
"248","3","10","5",38
"249","4","10","5",41
"250","5","10","5",43
