"","n.rem","year","sim","segment"
"1","1","1","1",49
"2","2","1","1",13
"3","3","1","1",38
"4","4","1","1",28
"5","5","1","1",37
"6","1","2","1",14
"7","2","2","1",45
"8","3","2","1",35
"9","4","2","1",22
"10","5","2","1",4
"11","1","3","1",19
"12","2","3","1",42
"13","3","3","1",43
"14","4","3","1",18
"15","5","3","1",41
"16","1","4","1",38
"17","2","4","1",46
"18","3","4","1",21
"19","4","4","1",8
"20","5","4","1",37
"21","1","5","1",33
"22","2","5","1",35
"23","3","5","1",20
"24","4","5","1",10
"25","5","5","1",13
"26","1","6","1",43
"27","2","6","1",28
"28","3","6","1",18
"29","4","6","1",49
"30","5","6","1",24
"31","1","7","1",42
"32","2","7","1",37
"33","3","7","1",27
"34","4","7","1",17
"35","5","7","1",39
"36","1","8","1",25
"37","2","8","1",23
"38","3","8","1",21
"39","4","8","1",32
"40","5","8","1",5
"41","1","9","1",6
"42","2","9","1",12
"43","3","9","1",44
"44","4","9","1",40
"45","5","9","1",9
"46","1","10","1",29
"47","2","10","1",48
"48","3","10","1",36
"49","4","10","1",28
"50","5","10","1",13
"51","1","1","2",49
"52","2","1","2",13
"53","3","1","2",38
"54","4","1","2",28
"55","5","1","2",37
"56","1","2","2",48
"57","2","2","2",25
"58","3","2","2",15
"59","4","2","2",40
"60","5","2","2",4
"61","1","3","2",33
"62","2","3","2",9
"63","3","3","2",6
"64","4","3","2",43
"65","5","3","2",29
"66","1","4","2",35
"67","2","4","2",11
"68","3","4","2",26
"69","4","4","2",2
"70","5","4","2",27
"71","1","5","2",12
"72","2","5","2",32
"73","3","5","2",3
"74","4","5","2",28
"75","5","5","2",14
"76","1","6","2",20
"77","2","6","2",29
"78","3","6","2",40
"79","4","6","2",33
"80","5","6","2",8
"81","1","7","2",21
"82","2","7","2",13
"83","3","7","2",27
"84","4","7","2",45
"85","5","7","2",10
"86","1","8","2",1
"87","2","8","2",49
"88","3","8","2",14
"89","4","8","2",6
"90","5","8","2",23
"91","1","9","2",8
"92","2","9","2",44
"93","3","9","2",19
"94","4","9","2",32
"95","5","9","2",46
"96","1","10","2",25
"97","2","10","2",18
"98","3","10","2",22
"99","4","10","2",21
"100","5","10","2",39
"101","1","1","3",49
"102","2","1","3",13
"103","3","1","3",38
"104","4","1","3",28
"105","5","1","3",37
"106","1","2","3",11
"107","2","2","3",25
"108","3","2","3",19
"109","4","2","3",50
"110","5","2","3",32
"111","1","3","3",24
"112","2","3","3",17
"113","3","3","3",18
"114","4","3","3",27
"115","5","3","3",44
"116","1","4","3",28
"117","2","4","3",36
"118","3","4","3",43
"119","4","4","3",40
"120","5","4","3",34
"121","1","5","3",6
"122","2","5","3",32
"123","3","5","3",16
"124","4","5","3",31
"125","5","5","3",13
"126","1","6","3",45
"127","2","6","3",37
"128","3","6","3",11
"129","4","6","3",4
"130","5","6","3",48
"131","1","7","3",10
"132","2","7","3",46
"133","3","7","3",20
"134","4","7","3",21
"135","5","7","3",50
"136","1","8","3",38
"137","2","8","3",2
"138","3","8","3",33
"139","4","8","3",3
"140","5","8","3",8
"141","1","9","3",1
"142","2","9","3",34
"143","3","9","3",12
"144","4","9","3",36
"145","5","9","3",39
"146","1","10","3",9
"147","2","10","3",41
"148","3","10","3",24
"149","4","10","3",13
"150","5","10","3",4
"151","1","1","4",49
"152","2","1","4",13
"153","3","1","4",38
"154","4","1","4",28
"155","5","1","4",37
"156","1","2","4",2
"157","2","2","4",10
"158","3","2","4",17
"159","4","2","4",23
"160","5","2","4",4
"161","1","3","4",20
"162","2","3","4",18
"163","3","3","4",42
"164","4","3","4",3
"165","5","3","4",11
"166","1","4","4",31
"167","2","4","4",26
"168","3","4","4",40
"169","4","4","4",35
"170","5","4","4",13
"171","1","5","4",28
"172","2","5","4",34
"173","3","5","4",24
"174","4","5","4",47
"175","5","5","4",48
"176","1","6","4",44
"177","2","6","4",43
"178","3","6","4",12
"179","4","6","4",23
"180","5","6","4",30
"181","1","7","4",37
"182","2","7","4",7
"183","3","7","4",9
"184","4","7","4",16
"185","5","7","4",8
"186","1","8","4",31
"187","2","8","4",40
"188","3","8","4",48
"189","4","8","4",47
"190","5","8","4",10
"191","1","9","4",24
"192","2","9","4",22
"193","3","9","4",15
"194","4","9","4",44
"195","5","9","4",50
"196","1","10","4",17
"197","2","10","4",41
"198","3","10","4",46
"199","4","10","4",18
"200","5","10","4",30
"201","1","1","5",49
"202","2","1","5",13
"203","3","1","5",38
"204","4","1","5",28
"205","5","1","5",37
"206","1","2","5",21
"207","2","2","5",19
"208","3","2","5",3
"209","4","2","5",2
"210","5","2","5",32
"211","1","3","5",22
"212","2","3","5",38
"213","3","3","5",1
"214","4","3","5",10
"215","5","3","5",34
"216","1","4","5",32
"217","2","4","5",15
"218","3","4","5",45
"219","4","4","5",23
"220","5","4","5",6
"221","1","5","5",36
"222","2","5","5",31
"223","3","5","5",49
"224","4","5","5",13
"225","5","5","5",19
"226","1","6","5",47
"227","2","6","5",30
"228","3","6","5",35
"229","4","6","5",34
"230","5","6","5",12
"231","1","7","5",17
"232","2","7","5",23
"233","3","7","5",6
"234","4","7","5",3
"235","5","7","5",27
"236","1","8","5",9
"237","2","8","5",45
"238","3","8","5",7
"239","4","8","5",46
"240","5","8","5",14
"241","1","9","5",25
"242","2","9","5",48
"243","3","9","5",33
"244","4","9","5",21
"245","5","9","5",39
"246","1","10","5",10
"247","2","10","5",23
"248","3","10","5",4
"249","4","10","5",27
"250","5","10","5",31
