"","n.obs","year","sim","segment"
"1",6,6,6,2
"2",6,6,6,9
"3",6,6,6,13
"4",6,6,6,18
"5",6,6,6,23
"6",6,6,6,32
"7",6,6,6,40
"8",6,6,6,41
"9",6,6,6,42
"10",6,6,6,48
"11",6,6,6,1
"12",6,6,6,4
"13",6,6,6,5
"14",6,6,6,9
"15",6,6,6,18
"16",6,6,6,24
"17",6,6,6,25
"18",6,6,6,37
"19",6,6,6,44
"20",6,6,6,49
"21",6,6,6,1
"22",6,6,6,2
"23",6,6,6,6
"24",6,6,6,19
"25",6,6,6,28
"26",6,6,6,32
"27",6,6,6,33
"28",6,6,6,37
"29",6,6,6,43
"30",6,6,6,47
"31",6,6,6,13
"32",6,6,6,19
"33",6,6,6,24
"34",6,6,6,25
"35",6,6,6,27
"36",6,6,6,30
"37",6,6,6,33
"38",6,6,6,37
"39",6,6,6,44
"40",6,6,6,50
"41",6,6,6,5
"42",6,6,6,9
"43",6,6,6,15
"44",6,6,6,16
"45",6,6,6,19
"46",6,6,6,21
"47",6,6,6,33
"48",6,6,6,35
"49",6,6,6,38
"50",6,6,6,44
"51",6,6,6,1
"52",6,6,6,2
"53",6,6,6,5
"54",6,6,6,6
"55",6,6,6,27
"56",6,6,6,32
"57",6,6,6,36
"58",6,6,6,38
"59",6,6,6,47
"60",6,6,6,50
"61",6,6,6,2
"62",6,6,6,8
"63",6,6,6,14
"64",6,6,6,17
"65",6,6,6,20
"66",6,6,6,28
"67",6,6,6,33
"68",6,6,6,34
"69",6,6,6,35
"70",6,6,6,41
"71",6,6,6,3
"72",6,6,6,8
"73",6,6,6,9
"74",6,6,6,14
"75",6,6,6,15
"76",6,6,6,17
"77",6,6,6,35
"78",6,6,6,37
"79",6,6,6,42
"80",6,6,6,48
"81",6,6,6,5
"82",6,6,6,17
"83",6,6,6,19
"84",6,6,6,21
"85",6,6,6,32
"86",6,6,6,33
"87",6,6,6,41
"88",6,6,6,45
"89",6,6,6,46
"90",6,6,6,50
"91",6,6,6,5
"92",6,6,6,11
"93",6,6,6,13
"94",6,6,6,16
"95",6,6,6,20
"96",6,6,6,24
"97",6,6,6,28
"98",6,6,6,32
"99",6,6,6,45
"100",6,6,6,48
"101",6,6,6,2
"102",6,6,6,9
"103",6,6,6,13
"104",6,6,6,18
"105",6,6,6,23
"106",6,6,6,32
"107",6,6,6,40
"108",6,6,6,41
"109",6,6,6,42
"110",6,6,6,48
"111",6,6,6,2
"112",6,6,6,5
"113",6,6,6,11
"114",6,6,6,24
"115",6,6,6,32
"116",6,6,6,34
"117",6,6,6,38
"118",6,6,6,40
"119",6,6,6,42
"120",6,6,6,46
"121",6,6,6,1
"122",6,6,6,13
"123",6,6,6,17
"124",6,6,6,19
"125",6,6,6,21
"126",6,6,6,29
"127",6,6,6,32
"128",6,6,6,33
"129",6,6,6,39
"130",6,6,6,45
"131",6,6,6,10
"132",6,6,6,13
"133",6,6,6,15
"134",6,6,6,17
"135",6,6,6,24
"136",6,6,6,27
"137",6,6,6,32
"138",6,6,6,35
"139",6,6,6,36
"140",6,6,6,38
"141",6,6,6,1
"142",6,6,6,2
"143",6,6,6,5
"144",6,6,6,11
"145",6,6,6,28
"146",6,6,6,29
"147",6,6,6,33
"148",6,6,6,34
"149",6,6,6,35
"150",6,6,6,41
"151",6,6,6,8
"152",6,6,6,12
"153",6,6,6,15
"154",6,6,6,21
"155",6,6,6,24
"156",6,6,6,27
"157",6,6,6,28
"158",6,6,6,37
"159",6,6,6,45
